estado,cidade,sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
pi,teresina,10-23-27-43-53-59,2011,10,10,23,27,43,53,59,2011-10-15
df,brasília,3-16-19-24-33-60,2010,1,3,16,19,24,33,60,2010-01-16
am,manaus,1-8-22-49-52-53,2016,1,1,8,22,49,52,53,2016-01-16
rj,teresópolis,6-11-16-19-31-56,2016,3,6,11,16,19,31,56,2016-03-16
ms,figueirão,4-10-23-33-38-55,2014,4,4,10,23,33,38,55,2014-04-16
pi,corrente,1-16-28-39-44-57,2012,5,1,16,28,39,44,57,2012-05-16
sc,blumenau,3-16-23-25-51-56,2011,7,3,16,23,25,51,56,2011-07-16
mg,uberlândia,3-23-26-31-47-54,2014,7,3,23,26,31,47,54,2014-07-16
ba,salvador,5-8-24-30-57-59,2016,7,5,8,24,30,57,59,2016-07-16
mg,dores do indaiá,20-26-32-41-45-57,2014,8,20,26,32,41,45,57,2014-08-16
es,vitória,4-5-6-19-23-39,2009,12,4,5,6,19,23,39,2009-12-16
pr,londrina,1-6-10-34-40-54,2013,4,1,6,10,34,40,54,2013-04-17
rj,petrópolis,9-23-32-35-46-57,2014,5,9,23,32,35,46,57,2014-05-17
sc,luiz alves,3-18-22-34-55-58,2012,10,3,18,22,34,55,58,2012-10-17
pr,curitiba,12-32-40-47-48-59,2011,12,12,32,40,47,48,59,2011-12-17
df,brasília,10-14-25-29-33-57,2014,12,10,14,25,29,33,57,2014-12-17
rj,itaguaí,5-6-11-32-36-60,2014,1,5,6,11,32,36,60,2014-01-18
pr,curitiba,1-2-27-28-46-47,2015,2,1,2,27,28,46,47,2015-02-18
pe,recife,15-24-37-46-49-58,2015,3,15,24,37,46,49,58,2015-03-18
sp,são paulo,11-27-30-40-44-57,2012,4,11,27,30,40,44,57,2012-04-18
mg,diamantina,1-12-17-31-37-46,2015,4,1,12,17,31,37,46,2015-04-18
go,nova glória,5-12-45-52-56-59,2012,8,5,12,45,52,56,59,2012-08-18
rj,rio de janeiro,5-8-14-24-29-30,2009,11,5,8,14,24,29,30,2009-11-18
sp,santa bárbara doeste,1-4-5-14-45-56,2014,2,1,4,5,14,45,56,2014-02-19
ce,fortaleza,4-19-27-28-29-31,2012,5,4,19,27,28,29,31,2012-05-19
pr,floresta,9-20-24-43-51-52,2014,7,9,20,24,43,51,52,2014-07-19
sp,guaratingueta,6-7-10-12-24-57,2009,8,6,7,10,12,24,57,2009-08-19
